,0,1,2,3,4,5,6,7,8,9
33.785777_-84.411518_0,20906.0,,,,,154363.0,234331,,,
33.785777_-84.411518_180,39847.0,,,,,131503.0,238250,,,
33.785777_-84.411518_270,499.0,33.0,16.0,,,186092.0,222960,,,
33.785777_-84.411518_90,8048.0,,6963.0,,,146575.0,248014,,,
33.785801_-84.411174_0,2469.0,,13813.0,,,106990.0,286328,,,
33.785801_-84.411174_180,8697.0,,10736.0,,,51299.0,338868,,,
33.785801_-84.411174_270,2243.0,,16347.0,,,163352.0,227658,,,
33.785801_-84.411174_90,1741.0,,8744.0,,,136953.0,262162,,,
33.785807_-84.410798_0,15341.0,,,,,107486.0,286773,,,
33.785807_-84.410798_180,30093.0,,,,,135802.0,243705,,,
33.785807_-84.410798_270,973.0,,11066.0,,,173434.0,224127,,,
33.785807_-84.410798_90,169.0,,6247.0,,,149971.0,253213,,,
33.785813_-84.410639_0,12697.0,,,,,111333.0,285570,,,
33.785813_-84.410639_180,25437.0,,,,,135827.0,248336,,,
33.785813_-84.410639_270,6027.0,,,,306.0,174016.0,229251,,,
33.785813_-84.410639_90,4583.0,,4.0,,,149628.0,255385,,,
33.78582_-84.410435_0,28255.0,,,,,121793.0,259552,,,
33.78582_-84.410435_180,34064.0,,,,,128529.0,247007,,,
33.78582_-84.410435_270,5373.0,,241.0,,,178022.0,225964,,,
33.78582_-84.410435_90,12104.0,,,64.0,,152667.0,244765,,,
33.785835_-84.41025_0,67701.0,,,,,55163.0,286736,,,
33.785835_-84.41025_180,6467.0,,4235.0,,,168361.0,230537,,,
33.785835_-84.41025_270,31375.0,,24201.0,,830.0,126492.0,226702,,,
33.785835_-84.41025_90,25959.0,,,1992.0,,129578.0,252071,,,
33.785863_-84.410069_0,11110.0,,,,,146994.0,251496,,,
33.785863_-84.410069_180,,,,36191.0,,,373409,,,
33.785863_-84.410069_270,4874.0,,,,,161822.0,242904,,,
33.785863_-84.410069_90,1527.0,,,374.0,,118434.0,289265,,,
33.785909_-84.409891_0,12994.0,,,178.0,,138610.0,257818,,,
33.785909_-84.409891_180,25110.0,,2559.0,206.0,,4971.0,376754,,,
33.785909_-84.409891_270,1920.0,,,,,148021.0,259659,,,
33.785909_-84.409891_90,10426.0,,,,,116055.0,283119,,,
33.785967_-84.409588_0,7079.0,,,108.0,,154605.0,247808,,,
33.785967_-84.409588_180,92035.0,,,,,3899.0,313666,,,
33.785967_-84.409588_270,,,18400.0,4181.0,,162640.0,224379,,,
33.785967_-84.409588_90,8273.0,,,17428.0,,101317.0,282582,,,
33.786019_-84.409432_0,40784.0,,,7.0,,57616.0,311193,,,
33.786019_-84.409432_180,10971.0,1469.0,344.0,,4219.0,162069.0,230528,,,
33.786019_-84.409432_270,2668.0,,,60455.0,,112693.0,233784,,,
33.786019_-84.409432_90,184.0,,,15453.0,568.0,149758.0,243637,,,
33.786179_-84.40879_0,8406.0,,,603.0,,159540.0,241051,,,
33.786179_-84.40879_180,103430.0,,,,,6506.0,299664,,,
33.786179_-84.40879_270,6334.0,,13634.0,2317.0,18041.0,154539.0,214735,,,
33.786179_-84.40879_90,54468.0,,,,,110780.0,244352,,,
33.7861_-84.409121_0,,,,9634.0,,154302.0,245664,,,
33.7861_-84.409121_180,,,,2410.0,,5346.0,401844,,,
33.7861_-84.409121_270,14141.0,139.0,,3720.0,293.0,163449.0,226911,947.0,,
33.7861_-84.409121_90,,,11075.0,563.0,1.0,108190.0,289145,,626.0,
33.786209_-84.40852_0,54077.0,,,,,92737.0,262786,,,
33.786209_-84.40852_180,16588.0,,,,,152748.0,240264,,,
33.786209_-84.40852_270,34274.0,,,2445.0,,127327.0,245554,,,
33.786209_-84.40852_90,7521.0,,,1760.0,,161872.0,238447,,,
33.786233_-84.408248_0,67381.0,,,,,,342219,,,
33.786233_-84.408248_180,7984.0,,,,,132646.0,268970,,,
33.786233_-84.408248_270,117.0,,,19846.0,,137291.0,252346,,,
33.786233_-84.408248_90,365.0,,,16497.0,32.0,128732.0,263974,,,
33.786242_-84.407865_0,10195.0,,,,1240.0,152753.0,245412,,,
33.786242_-84.407865_180,95506.0,,,,,36463.0,277631,,,
33.786242_-84.407865_270,31970.0,,,,,132151.0,245479,,,
33.786242_-84.407865_90,15899.0,,24790.0,,,122216.0,246695,,,
